MOBILE_PHONE_NO,ACTV_REASON_CODE,ACTV_REASON_DESCRIPTION,ADJ_CREATION_DATE,ACTV_AMT
1234567967,OGWTUS,Overage Bill Shock US Roam Text,13/01/2014,$22.35
1234568043,OGWT,Overage Bill Shock Text,14/02/2014,$58.00
1234568082,OGWRD,Overage Bill Shock US Roam Data,17/03/2014,"$2,970.95"
1234568115,OGWRV,Overage Bill Shock US Roam Voice,22/04/2014,$19.00
1234567932,OGWT,Overage Bill Shock Text,20/03/2014,$1.05
1234567968,OGWRD,Overage Bill Shock US Roam Data,17/04/2014,$36.32
1234568004,OGWRD,Overage Bill Shock US Roam Data,17/04/2014,$11.17
1234568005,OGWDD,Overage Bill Shock Data Device,31/07/2014,$500.00
1234568006,OGWRV,Overage Bill Shock US Roam Voice,03/03/2014,$1.25
1234568007,OGWRV,Overage Bill Shock US Roam Voice,15/05/2014,$19.00
1234568044,OGWRD,Overage Bill Shock US Roam Data,15/05/2014,$23.20
1234568152,OGWRD,Overage Bill Shock US Roam Data,20/03/2014,$126.76
1234590605,OGWT,Overage Bill Shock Text,10/07/2014,$27.90
1234590605,OGWT,Overage Bill Shock Text,10/07/2014,$11.10
1234567893,OGWDD,Overage Bill Shock Data Device,23/01/2014,"$1,000.00"
1234568049,OGWVA,Overage Bill Shock Voice Airtime,28/01/2014,$34.75
1234567971,OGWRV,Overage Bill Shock US Roam Voice,21/02/2014,$48.00
1234568050,OGWDD,Overage Bill Shock Data Device,17/02/2014,$3.00
1234568085,OGWRDI,Overage Bill Shock Intl Roam Data,01/05/2014,$909.76
1234568085,OGWTI,Overage Bill Shock Intl Roam Text,29/04/2014,$23.10
1234568085,OGWRVI,Overage Bill Shock Intl Roam Voice,29/04/2014,$57.50
1234567906,OGWT,Overage Bill Shock Text,19/03/2014,$212.10
1234567906,OGWT,Overage Bill Shock Text,19/03/2014,$262.30
1234567906,OGWT,Overage Bill Shock Text,19/03/2014,$271.50
1234567906,OGWT,Overage Bill Shock Text,19/03/2014,$293.40
1234568056,OGWRD,Overage Bill Shock US Roam Data,02/01/2014,$99.77
1234568056,OGWRV,Overage Bill Shock US Roam Voice,02/01/2014,$6.75
1234568090,OGWT,Overage Bill Shock Text,05/06/2014,$232.50
1234568090,OGWT,Overage Bill Shock Text,05/06/2014,$18.30
1234568090,OGWT,Overage Bill Shock Text,05/06/2014,$110.40
1234568090,OGWT,Overage Bill Shock Text,05/06/2014,$104.40
1234568090,OGWT,Overage Bill Shock Text,05/06/2014,$302.70
1234568090,OGWT,Overage Bill Shock Text,05/06/2014,$90.60
1234568090,OGWT,Overage Bill Shock Text,05/06/2014,$40.20
1234568090,OGWT,Overage Bill Shock Text,05/06/2014,$127.20
1234568020,OGWDD,Overage Bill Shock Data Device,20/01/2014,$29.13
1234568022,OGWT,Overage Bill Shock Text,10/01/2014,$35.10
1234568023,OGWRD,Overage Bill Shock US Roam Data,10/03/2014,$17.07
1234568060,OGWRDI,Overage Bill Shock Intl Roam Data,28/04/2014,$400.00
1234568167,OGWT,Overage Bill Shock Text,25/02/2014,$5.40
1234568167,OGWDD,Overage Bill Shock Data Device,17/06/2014,$32.79
1234568167,OGWDD,Overage Bill Shock Data Device,17/06/2014,$331.58
1234590820,OGWTUS,Overage Bill Shock US Roam Text,16/06/2014,$25.79
1234567950,OGWRDI,Overage Bill Shock Intl Roam Data,10/03/2014,"$22,733.68"
1234567986,OGWRDI,Overage Bill Shock Intl Roam Data,30/01/2014,"$1,458.80"
1234568062,OGWDD,Overage Bill Shock Data Device,30/01/2014,$635.00
1234568127,OGWDD,Overage Bill Shock Data Device,29/01/2014,$50.27
1234567908,OGWRD,Overage Bill Shock US Roam Data,16/06/2014,$37.71
1234567908,OGWDD,Overage Bill Shock Data Device,24/07/2014,$343.21
1234567951,OGWDD,Overage Bill Shock Data Device,24/07/2014,$115.10
1234567951,OGWDD,Overage Bill Shock Data Device,24/07/2014,$238.15
1234567987,OGWDD,Overage Bill Shock Data Device,23/07/2014,$362.65
1234567987,OGWDD,Overage Bill Shock Data Device,23/07/2014,$180.02
1234567988,OGWDD,Overage Bill Shock Data Device,15/07/2014,$763.11
1234567988,OGWDD,Overage Bill Shock Data Device,14/07/2014,$280.46
1234568026,OGWDD,Overage Bill Shock Data Device,30/07/2014,$135.06
1234568063,OGWTUS,Overage Bill Shock US Roam Text,24/07/2014,$100.00
1234568096,OGWRD,Overage Bill Shock US Roam Data,21/02/2014,$500.00
1234568096,OGWRD,Overage Bill Shock US Roam Data,21/02/2014,$1.77
1234568128,OGWDD,Overage Bill Shock Data Device,20/05/2014,$300.77
1234568173,OGWDD,Overage Bill Shock Data Device,23/07/2014,$272.04
1234568173,OGWDD,Overage Bill Shock Data Device,23/07/2014,$117.51
1234567990,OGWRD,Overage Bill Shock US Roam Data,16/04/2014,$324.97
1234568027,OGWRV,Overage Bill Shock US Roam Voice,08/01/2014,$22.00
1234568027,OGWRDI,Overage Bill Shock Intl Roam Data,08/01/2014,$103.50
1234568064,OGWDD,Overage Bill Shock Data Device,27/01/2014,$500.11
1234568064,OGWDD,Overage Bill Shock Data Device,13/01/2014,$540.30
1234568130,OGWTI,Overage Bill Shock Intl Roam Text,18/02/2014,$266.65
1234568174,OGWDD,Overage Bill Shock Data Device,15/01/2014,$407.84
1234568030,OGWRV,Overage Bill Shock US Roam Voice,10/06/2014,$20.00
1234568030,OGWRD,Overage Bill Shock US Roam Data,10/06/2014,$154.74
1234568102,OGWRDI,Overage Bill Shock Intl Roam Data,07/05/2014,$300.01
1234567913,OGWDD,Overage Bill Shock Data Device,20/03/2014,$22.03
1234567914,OGWRD,Overage Bill Shock US Roam Data,25/03/2014,$80.00
1234567914,OGWRV,Overage Bill Shock US Roam Voice,25/03/2014,$70.00
1234567915,OGWDD,Overage Bill Shock Data Device,24/03/2014,$1.03
1234567916,OGWDD,Overage Bill Shock Data Device,24/03/2014,$57.02
1234567955,OGWDD,Overage Bill Shock Data Device,20/03/2014,$150.04
1234567955,OGWT,Overage Bill Shock Text,20/03/2014,$1.00
1234567955,OGWTUS,Overage Bill Shock US Roam Text,28/03/2014,$0.90
1234567955,OGWRD,Overage Bill Shock US Roam Data,28/03/2014,$135.21
1234567994,OGWDD,Overage Bill Shock Data Device,21/03/2014,$150.04
1234567994,OGWT,Overage Bill Shock Text,21/03/2014,$1.00
1234567995,OGWDD,Overage Bill Shock Data Device,20/03/2014,$62.28
1234568033,OGWDD,Overage Bill Shock Data Device,21/03/2014,$26.65
1234568034,OGWRD,Overage Bill Shock US Roam Data,21/03/2014,$40.60
1234568067,OGWDD,Overage Bill Shock Data Device,24/03/2014,$186.66
1234568067,OGWT,Overage Bill Shock Text,24/03/2014,$1.20
1234568068,OGWDD,Overage Bill Shock Data Device,20/03/2014,$19.56
1234568103,OGWDD,Overage Bill Shock Data Device,20/03/2014,$38.30
1234568104,OGWDD,Overage Bill Shock Data Device,24/03/2014,$4.39
1234568133,OGWRD,Overage Bill Shock US Roam Data,10/03/2014,"$3,344.43"
1234568134,OGWDD,Overage Bill Shock Data Device,20/03/2014,$16.50
1234568135,OGWDD,Overage Bill Shock Data Device,20/03/2014,$15.85
1234587978,OGWT,Overage Bill Shock Text,02/01/2014,$20.93
1234567925,OGWRD,Overage Bill Shock US Roam Data,15/04/2014,$450.55
1234568145,OGWDD,Overage Bill Shock Data Device,16/07/2014,$107.70
1234568145,OGWRV,Overage Bill Shock US Roam Voice,16/07/2014,$30.25
1234568146,OGWDD,Overage Bill Shock Data Device,10/02/2014,$500.00
1234568147,OGWRDI,Overage Bill Shock Intl Roam Data,12/05/2014,$133.35
1234568192,OGWT,Overage Bill Shock Text,28/01/2014,$100.00
1234568193,OGWDD,Overage Bill Shock Data Device,28/01/2014,$100.00
1234568194,OGWVA,Overage Bill Shock Voice Airtime,17/02/2014,$16.20
1234568195,OGWDD,Overage Bill Shock Data Device,06/02/2014,$375.49
1234568224,OGWDD,Overage Bill Shock Data Device,24/07/2014,$33.50
1234568225,OGWVLD,Overage Bill Shock Vocie LD,16/07/2014,$49.78
1234568226,OGWVA,Overage Bill Shock Voice Airtime,17/02/2014,$92.90
1234568270,OGWDD,Overage Bill Shock Data Device,27/02/2014,$475.00
1234568271,OGWDD,Overage Bill Shock Data Device,06/03/2014,$7.08
1234568271,OGWDD,Overage Bill Shock Data Device,06/03/2014,$1.71
1234568307,OGWRV,Overage Bill Shock US Roam Voice,11/02/2014,$2.40
1234568308,OGWDD,Overage Bill Shock Data Device,10/02/2014,$860.48
1234568309,OGWDD,Overage Bill Shock Data Device,10/02/2014,"$1,000.00"
1234568310,OGWDHS,Overage Bill Shock Data MHSI,14/05/2014,$537.26
1234568311,OGWRDI,Overage Bill Shock Intl Roam Data,25/02/2014,$500.00
1234568313,OGWT,Overage Bill Shock Text,17/02/2014,$19.20
1234568346,OGWDD,Overage Bill Shock Data Device,11/02/2014,$38.52
1234568346,OGWVA,Overage Bill Shock Voice Airtime,11/02/2014,$16.83
1234568346,OGWVA,Overage Bill Shock Voice Airtime,11/02/2014,$44.55
1234568347,OGWDD,Overage Bill Shock Data Device,10/02/2014,$700.17
1234568348,OGWDD,Overage Bill Shock Data Device,10/02/2014,$500.00
1234568379,OGWDD,Overage Bill Shock Data Device,10/02/2014,$820.01
1234568380,OGWVLD,Overage Bill Shock Vocie LD,19/06/2014,$21.12
1234568381,OGWT,Overage Bill Shock Text,28/01/2014,$14.40
1234568382,OGWVA,Overage Bill Shock Voice Airtime,17/02/2014,$103.90
1234568383,OGWDD,Overage Bill Shock Data Device,25/02/2014,$330.77
1234568384,OGWT,Overage Bill Shock Text,28/01/2014,$0.80
1234568454,OGWTI,Overage Bill Shock Intl Roam Text,24/02/2014,$22.50
1234568454,OGWRVI,Overage Bill Shock Intl Roam Voice,24/02/2014,$74.00
1234568454,OGWRDI,Overage Bill Shock Intl Roam Data,24/02/2014,$54.91
1234568455,OGWDD,Overage Bill Shock Data Device,07/01/2014,$400.00
1234568229,OGWRD,Overage Bill Shock US Roam Data,24/06/2014,$35.68
1234568274,OGWDD,Overage Bill Shock Data Device,21/07/2014,$429.00
1234568317,OGWRD,Overage Bill Shock US Roam Data,07/07/2014,$70.96
1234568458,OGWRDI,Overage Bill Shock Intl Roam Data,07/07/2014,$100.00
1234568200,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.02
1234568201,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.14
1234568202,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$9.45
1234568202,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$4.39
1234568202,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$81.87
1234568203,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$14.11
1234568204,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.64
1234568204,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.06
1234568204,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$16.53
1234568205,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.46
1234568205,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$5.79
1234568205,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.09
1234568205,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.37
1234568206,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$4.94
1234568207,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.31
1234568207,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$5.02
1234568208,OGWRDI,Overage Bill Shock Intl Roam Data,09/07/2014,$7.54
1234568230,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.09
1234568231,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.06
1234568231,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.09
1234568231,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$2.21
1234568232,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$13.63
1234568233,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$42.54
1234568234,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.46
1234568235,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$0.09
1234568236,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$10.26
1234568236,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$45.56
1234568236,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$7.20
1234568236,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$3.41
1234568236,OGWRDI,Overage Bill Shock Intl Roam Data,08/07/2014,$22.62
1234568237,OGWRDI,Overage Bill Shock Intl Roam Data,09/07/2014,$9.05
1234568237,OGWRDI,Overage Bill Shock Intl Roam Data,09/07/2014,$9.78
