CCYYMM,BAN,MOBILE_PHONE_NO,VOICE_ROAM_USA_AIR_CHRG_AMT,VOICE_ROAM_USA_LD_CHRG_AMT,VOICE_ROAM_INTL_AIR_CHRG_AMT,VOICE_ROAM_INTL_LD_CHRG_AMT,DATA_BILLED_AMT_CDA,DATA_ROAM_AMT_USA,DATA_ROAM_AMT_INTL,SMS_TOTAL_AMOUNT,SMS_ROAM_AMOUNT,,
201401,17468245,1234571146,,,,,$0.01,$0.00,$0.00,$0.00,,,
201401,21473964,1234573140,,,,,$0.01,$0.00,$0.00,$0.00,,,
201401,26620377,1234576578,,,,,$0.01,$0.00,$0.00,,,,
201401,26875261,1234576795,,,,,$0.01,$0.00,$0.00,,,,
201402,18062822,1234581041,,,,,$0.01,$0.00,$0.00,$0.00,,,
201402,23012979,1234581219,,,,,$0.01,$0.00,$0.00,$0.00,,,
201402,24855844,1234583457,,,,,$0.01,$0.00,$0.00,$0.00,,,
201402,25231274,1234583890,,,,,$0.01,$0.00,$0.00,$0.00,,,
201402,21979847,1234583698,,,,,$0.01,$0.00,$0.00,$0.00,,,
201401,26304913,1234584983,,,,,$0.01,$0.00,$0.00,$0.00,,,
201401,26776982,1234585099,,,,,$0.00,$0.01,$0.00,$0.00,,,
201403,21085782,1234585688,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201403,21247699,1234587487,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201403,26132873,1234588390,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201401,6068818,1234587555,,,,,$0.00,$0.01,$0.00,$0.00,,,
201401,27063686,1234582539,,,,,$0.01,$0.00,$0.00,$0.00,,,
201405,17797478,1234578980,,,,,$0.00,$0.01,$0.00,,,,
201404,27395925,1234582281,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201405,24855844,1234583457,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201405,27234718,1234588727,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201406,23853918,1234588528,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201402,24925582,1234576409,,,,,$0.00,$0.01,$0.00,,,,
201406,25040107,1234581844,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201403,12981146,1234572172,$0.00,$0.00,$0.00,$0.00,$0.01,$0.00,$0.00,$0.00,$0.00,,
201403,14448540,1234570182,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201403,15432981,1234570431,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201406,20630726,1234580586,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201406,22776690,1234582612,,,,,$0.00,$0.01,$0.00,,,,
201406,26828378,1234582438,,,,,$0.01,$0.00,$0.00,,,,
201406,27001440,1234584651,,,,,$0.01,$0.00,$0.00,,,,
201406,7073297,1234587505,,,,,$0.01,$0.00,$0.00,,,,
201403,27211032,1234584709,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201402,26875261,1234589926,,,,,$0.01,$0.00,$0.00,$0.00,,,
201402,23476842,1234588401,,,,,$0.00,$0.01,$0.00,$0.00,,,
201403,24809503,1234590899,,,,,$0.01,$0.00,$0.00,,,,
201403,25478560,1234582072,$0.00,$0.00,$0.00,$0.00,$0.00,$0.01,$0.00,,,,
201404,13538614,1234569856,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201403,467380,1234588687,,,,,$0.00,$0.01,$0.00,,,,
201403,5448236,1234579485,,,,,$0.00,$0.01,$0.00,,,,
201404,20139518,1234580444,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201403,21038030,1234573175,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201404,26272009,1234586868,,,,,$0.01,$0.00,$0.00,,,,
201405,13896208,1234569353,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201405,19030462,1234571851,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201405,21411323,1234572946,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201405,24313865,1234575755,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201405,26843392,1234591587,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201405,27224466,1234591533,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201404,17548410,1234571158,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201406,26798533,1234589596,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201404,26856570,1234582445,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201405,1211898,1234568686,,,,,$0.01,$0.00,$0.00,,,,
201405,1600128,1234588413,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201405,17637493,1234571440,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201405,21214270,1234572800,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201405,21717439,1234573298,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201401,15477381,1234579598,,,,,$0.01,$0.00,$0.00,$0.00,,,
201405,23956525,1234583012,,,,,$0.01,$0.00,$0.00,,,,
201401,16197849,1234582156,,,,,$0.01,$0.00,$0.00,$0.00,,,
201405,6750030,1234583131,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201401,23144857,1234589508,,,,,$0.00,$0.01,$0.00,$0.00,,,
201401,24272303,1234581579,,,,,$0.00,$0.01,$0.00,$0.00,,,
201402,22077251,1234573385,,,,,$0.01,$0.00,$0.00,$0.00,,,
201403,27057934,1234569543,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201404,1211898,1234570225,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201404,24146139,1234575638,,,,,$0.00,$0.01,$0.00,$0.00,$0.00,,
201405,23684317,1234584133,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201406,20168679,1234572879,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201406,20691019,1234585747,,,,,$0.01,$0.00,$0.00,$0.00,$0.00,,
201401,23713167,1234574959,,,,,$0.02,$0.00,$0.00,,,,
201401,23455221,1234575065,,,,,$0.00,$0.02,$0.00,$0.00,,,
201401,17797478,1234578980,,,,,$0.00,$0.02,$0.00,,,,
201402,14501995,1234569986,,,,,$0.02,$0.00,$0.00,$0.00,,,
201402,24197116,1234576005,,,,,$0.02,$0.00,$0.00,,,,
201401,21711852,1234583615,,,,,$0.00,$0.02,$0.00,$0.00,,,
201402,26538274,1234585039,,,,,$0.02,$0.00,$0.00,$0.00,,,
201403,15020225,1234580440,,,,,$0.00,$0.02,$0.00,$0.00,$0.00,,
201403,26723842,1234577837,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201403,23403423,1234587043,,,,,$0.02,$0.00,$0.00,,,,
201404,27256728,1234589677,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201401,26598229,1234586596,,,,,$0.02,$0.00,$0.00,$0.00,,,
201401,26875261,1234589926,,,,,$0.02,$0.00,$0.00,,,,
201404,22593728,1234573990,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201404,27006640,1234590432,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201404,13398484,1234569062,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201405,22801773,1234574243,,,,,$0.02,$0.00,$0.00,,,,
201402,17434184,1234572481,,,,,$0.00,$0.02,$0.00,$0.00,,,
201402,1086366,1234568192,,,,,$0.02,$0.00,$0.00,$0.00,,,
201404,22047331,1234590883,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201405,26190519,1234586448,,,,,$0.00,$0.02,$0.00,$0.00,$0.00,,
201406,25796726,1234584233,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201406,26442405,1234582360,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201404,6397794,1234578927,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201402,1086366,1234568381,,,,,$0.02,$0.00,$0.00,,,,
201406,18731613,1234573515,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201403,18062822,1234581041,,,,,$0.02,$0.00,$0.00,,,,
201403,20057756,1234580389,,,,,$0.00,$0.02,$0.00,$0.00,$0.00,,
201402,24086730,1234580263,,,,,$0.02,$0.00,$0.00,$0.00,,,
201405,6086069,1234579579,,,,,$0.00,$0.02,$0.00,$0.00,$0.00,,
201404,23917174,1234581488,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201406,22709348,1234574094,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201404,20691019,1234585747,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201404,27070816,1234586020,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201404,26678594,1234576586,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201406,17372803,1234570576,,,,,$0.00,$0.02,$0.00,$0.00,$0.00,,
201406,24466145,1234575902,,,,,$0.02,$0.00,$0.00,$0.00,$0.00,,
201406,5448236,1234579485,,,,,$0.00,$0.02,$0.00,,,,
201402,19153039,1234584100,,,,,$0.02,$0.00,$0.00,$0.00,,,
201402,23622414,1234574457,,,,,$0.00,$0.02,$0.00,$0.00,,,
201402,4647199,1234589829,,,,,$0.02,$0.00,$0.00,$0.00,,,
201406,14758334,1234591559,,,,,$0.00,$0.02,$0.00,$0.00,$0.00,,
201401,22644566,1234574002,$0.00,$0.00,$0.00,$0.00,$0.00,$0.03,$0.00,$0.00,,,
201401,22513149,1234574067,,,,,$0.03,$0.00,$0.00,$0.00,,,
201402,1086366,1234568307,,,,,$0.03,$0.00,$0.00,,,,
201402,19741984,1234580123,,,,,$0.00,$0.03,$0.00,,,,
201402,27167904,1234577891,,,,,$0.03,$0.00,$0.00,$0.00,,,
201401,21383845,1234583359,,,,,$0.03,$0.00,$0.00,$0.00,,,
201401,26190519,1234586448,,,,,$0.00,$0.03,$0.00,$0.00,,,
201404,1190569,1234568683,,,,,$0.03,$0.00,$0.00,,,,
201404,2700001,1234577671,,,,,$0.00,$0.03,$0.00,$0.00,$0.00,,
201402,402587,1234588913,,,,,$0.03,$0.00,$0.00,$0.00,,,
201403,16398217,1234579714,,,,,$0.00,$0.03,$0.00,$0.00,$0.00,,
201406,19437632,1234580730,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201403,23012979,1234581219,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201402,25024537,1234576632,,,,,$0.03,$0.00,$0.00,$0.00,,,
201403,25598767,1234575831,,,,,$0.00,$0.03,$0.00,$0.00,$0.00,,
201403,26275487,1234584980,$0.00,$0.00,$0.00,$0.00,$0.00,$0.03,$0.00,$0.00,$0.00,,
201403,24474900,1234574975,,,,,$0.00,$0.03,$0.00,$0.00,$0.00,,
201404,1086366,1234568226,,,,,$0.03,$0.00,$0.00,,,,
201404,23012979,1234581219,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201406,23999527,1234580244,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201405,17870643,1234579860,,,,,$0.00,$0.03,$0.00,$0.00,$0.00,,
201405,24778317,1234583444,,,,,$0.00,$0.03,$0.00,$0.00,$0.00,,
201406,20700641,1234572898,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201406,22364256,1234574049,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201405,3608735,1234568670,,,,,$0.00,$0.03,$0.00,$0.00,$0.00,,
201406,3100773,1234578059,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201401,27030274,1234586762,,,,,$0.00,$0.03,$0.00,$0.00,,,
201402,19568688,1234578818,$0.00,$0.00,$0.00,$0.00,$0.03,$0.00,$0.00,$0.00,,,
201404,14734965,1234570074,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201404,15814225,1234570543,,,,,$0.00,$0.03,$0.00,$0.00,$0.00,,
201406,20700641,1234572683,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201406,61441,1234587845,,,,,$0.03,$0.00,$0.00,$0.00,$0.00,,
201401,12338115,1234568713,,,,,$0.04,$0.00,$0.00,$0.00,,,
201401,20700641,1234572898,,,,,$0.04,$0.00,$0.00,$0.00,,,
201401,21701675,1234573054,,,,,$0.00,$0.04,$0.00,$0.00,,,
201401,25797425,1234575950,,,,,$0.04,$0.00,$0.00,,,,
201401,27149339,1234577888,,,,,$0.04,$0.00,$0.00,,,,
201402,12827696,1234569591,,,,,$0.04,$0.00,$0.00,$0.00,,,
201401,16227504,1234579703,,,,,$0.00,$0.04,$0.00,,,,
201402,22942156,1234582632,$0.00,$0.00,$0.00,$0.00,$0.00,$0.04,$0.00,$0.00,,,
201401,20781814,1234581773,,,,,$0.04,$0.00,$0.00,$0.00,,,
201401,27059795,1234587069,,,,,$0.04,$0.00,$0.00,$0.00,,,
201401,24902035,1234589298,,,,,$0.04,$0.00,$0.00,$0.00,,,
201402,1086366,1234568226,,,,,$0.04,$0.00,$0.00,,,,
201403,25069122,1234589770,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201405,12981146,1234572172,,,,,$0.04,$0.00,$0.00,,,,
201404,17341048,1234570571,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201403,15068022,1234590598,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201403,27342135,1234582675,,,,,$0.04,$0.00,$0.00,,,,
201404,17079928,1234571668,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201404,13398484,1234571101,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201404,15830410,1234570544,,,,,$0.00,$0.04,$0.00,$0.00,$0.00,,
201406,27494297,1234591682,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201404,27289867,1234582667,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201404,22207430,1234583841,,,,,$0.00,$0.04,$0.00,$0.00,$0.00,,
201404,27465363,1234590721,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201405,12338115,1234568713,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201405,24013784,1234575365,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201405,943605,1234578263,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201406,23713167,1234574959,,,,,$0.00,$0.04,$0.00,,,,
201406,26983051,1234589636,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201406,24969518,1234576206,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201406,27579564,1234591083,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201401,24855844,1234583457,,,,,$0.04,$0.00,$0.00,$0.00,,,
201402,26827311,1234577497,,,,,$0.04,$0.00,$0.00,,,,
201403,22801773,1234574243,,,,,$0.04,$0.00,$0.00,,,,
201405,26224030,1234576259,,,,,$0.00,$0.04,$0.00,$0.00,$0.00,,
201406,25332902,1234575711,,,,,$0.04,$0.00,$0.00,$0.00,$0.00,,
201401,24925582,1234576409,,,,,$0.00,$0.05,$0.00,,,,
201401,1886631,1234579941,,,,,$0.05,$0.00,$0.00,,,,
201401,24461858,1234580924,,,,,$0.05,$0.00,$0.00,$0.00,,,
201402,25338349,1234582062,,,,,$0.00,$0.05,$0.00,$0.00,,,
201402,27064870,1234582540,,,,,$0.05,$0.00,$0.00,$0.00,,,
201401,27070109,1234586019,,,,,$0.05,$0.00,$0.00,$0.00,,,
201403,24086059,1234586362,,,,,$0.00,$0.05,$0.00,$0.00,$0.00,,
201402,27070816,1234586020,,,,,$0.05,$0.00,$0.00,$0.00,,,
201404,22022128,1234585845,,,,,$0.05,$0.00,$0.00,$0.00,$0.00,,
201403,24421626,1234575892,$0.00,$0.00,$0.00,$0.00,$0.00,$0.05,$0.00,$0.00,$0.00,,
201403,3222944,1234577152,,,,,$0.05,$0.00,$0.00,$0.00,$0.00,,
201405,27070816,1234586020,,,,,$0.05,$0.00,$0.00,$0.00,$0.00,,
201402,14633023,1234569417,,,,,$0.00,$0.05,$0.00,$0.00,,,
201404,27584037,1234591085,,,,,$0.05,$0.00,$0.00,$0.00,$0.00,,
201402,27307820,1234579237,,,,,$0.05,$0.00,$0.00,,,,
201404,25506107,1234575813,,,,,$0.05,$0.00,$0.00,$0.00,$0.00,,
201403,27409281,1234588854,,,,,$0.05,$0.00,$0.00,$0.00,$0.00,,
201406,26207014,1234586857,$0.00,$0.00,$0.00,$0.00,$0.00,$0.05,$0.00,$0.00,$0.00,,
201406,44060111,1234579316,,,,,$0.05,$0.00,$0.00,$0.00,$0.00,,
201404,23913831,1234588892,$0.00,$0.00,$0.00,$0.00,$0.00,$0.05,$0.00,$0.00,$0.00,,
201405,23334635,1234574837,,,,,$0.05,$0.00,$0.00,$0.00,$0.00,,
201406,17625822,1234578966,,,,,$0.00,$0.05,$0.00,$0.00,$0.00,,
201406,26829518,1234577992,,,,,$0.00,$0.05,$0.00,$0.00,$0.00,,
201402,11016772,1234568541,,,,,$0.00,$0.05,$0.00,$0.00,,,
201404,27488589,1234591593,,,,,$0.05,$0.00,$0.00,$0.00,$0.00,,
201406,17580109,1234575211,,,,,$0.00,$0.05,$0.00,$0.00,$0.00,,
201401,22801773,1234574243,,,,,$0.06,$0.00,$0.00,$0.00,,,
201401,5448236,1234579485,,,,,$0.00,$0.06,$0.00,,,,
201403,15647472,1234575422,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201402,1095457,1234568318,,,,,$0.00,$0.06,$0.00,$0.00,,,
201401,26132873,1234588390,,,,,$0.00,$0.06,$0.00,$0.00,,,
201404,21901390,1234590862,,,,,$0.06,$0.00,$0.00,,,,
201404,27026285,1234576920,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201406,25683680,1234584079,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201402,9016418,1234588617,,,,,$0.06,$0.00,$0.00,$0.00,,,
201405,27632160,1234591341,,,,,$0.06,$0.00,$0.00,,,,
201406,1256848,1234568804,,,,,$0.06,$0.00,$0.00,,,,
201403,22386529,1234573758,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201402,20260675,1234585061,,,,,$0.06,$0.00,$0.00,$0.00,,,
201403,23403423,1234582852,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201403,27303948,1234582669,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201404,27252082,1234582595,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201405,22422614,1234573920,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201405,61441,1234587845,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201403,26224030,1234576259,,,,,$0.00,$0.06,$0.00,$0.00,$0.00,,
201406,14000369,1234569298,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201403,26852482,1234576788,$0.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
201406,23075546,1234578147,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201404,27525971,1234591125,,,,,$0.06,$0.00,$0.00,,,,
201404,2755429,1234586041,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201404,26799736,1234586656,$0.00,$0.00,$0.00,$0.00,$0.00,$0.06,$0.00,$0.00,$0.00,,
201406,16830250,1234571382,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201406,24921571,1234585963,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201401,26218930,1234584414,,,,,$0.06,$0.00,$0.00,$0.00,,,
201403,426102,1234582895,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201404,24780519,1234576078,,,,,$0.06,$0.00,$0.00,,,,
201405,17681839,1234578969,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201405,27204443,1234586801,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201406,26843392,1234591587,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201406,27353388,1234590958,,,,,$0.06,$0.00,$0.00,$0.00,$0.00,,
201401,19654018,1234572215,,,,,$0.07,$0.00,$0.00,$0.00,,,
201402,1086366,1234568347,,,,,$0.07,$0.00,$0.00,,,,
201402,14813183,1234570090,,,,,$0.00,$0.07,$0.00,$0.00,,,
201402,22372605,1234573957,,,,,$0.00,$0.07,$0.00,$0.00,,,
201402,1086366,1234568147,,,,,$0.07,$0.00,$0.00,,,,
201402,20193250,1234585054,,,,,$0.07,$0.00,$0.00,$0.00,,,
201406,22421999,1234590945,,,,,$0.07,$0.00,$0.00,$0.00,$0.00,,
201404,61931,1234577752,,,,,$0.07,$0.00,$0.00,$0.00,$0.00,,
201403,24279486,1234583080,,,,,$0.00,$0.07,$0.00,$0.00,$0.00,,
201403,26141691,1234587971,,,,,$0.07,$0.00,$0.00,$0.00,$0.00,,
201405,1523762,1234569557,,,,,$0.00,$0.07,$0.00,,,,
201406,27149339,1234577888,,,,,$0.07,$0.00,$0.00,,,,
201404,23579399,1234584561,,,,,$0.07,$0.00,$0.00,$0.00,$0.00,,
201404,24981908,1234586174,,,,,$0.07,$0.00,$0.00,$0.00,$0.00,,
201406,21237415,1234582177,,,,,$0.07,$0.00,$0.00,$0.00,$0.00,,
201401,20015283,1234572088,,,,,$0.08,$0.00,$0.00,$0.00,,,
201401,20531018,1234573081,,,,,$0.00,$0.08,$0.00,$0.00,,,
201401,23920644,1234580202,,,,,$0.00,$0.08,$0.00,$0.00,,,
